Iteration,Stimulus Intensity,Stimulus Valence,Emotional State,Action,Emotional Stability,Time
0,0.8574,-0.2063,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5000,0.0585
1,0.3452,0.7061,[0.45335298 0.         0.         0.         0.44204422 0.        ],3,0.5000,0.0548
2,0.5508,-0.3787,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5000,0.0602
3,0.8423,-0.6976,[0.    1.    0.968 1.    0.108 0.92 ],2,0.5000,0.0543
4,0.5740,0.7191,[0.651032   0.         0.         0.         0.59279161 0.        ],5,0.5067,1.1721
5,0.3023,-0.8635,[0.         1.         0.69790036 1.         0.108      0.92      ],3,0.4970,0.1932
6,0.7872,-0.6782,[0.    1.    0.968 1.    0.108 0.92 ],3,0.4747,0.2152
7,0.0511,0.2243,[0.19958943 0.         0.00155175 0.         0.27629768 0.        ],3,0.4929,0.2145
8,0.9489,-0.4668,[0.    1.    0.968 1.    0.108 0.92 ],4,0.5196,0.1876
9,0.8781,-0.6610,[0.    1.    0.968 1.    0.108 0.92 ],0,0.4765,0.1875
10,0.1231,0.7527,[0.13850477 0.00693464 0.00779414 0.         0.15567022 0.        ],0,0.4925,0.1985
11,0.6736,-0.8537,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5153,0.2148
12,0.0422,0.7640,[0.13798051 0.00691188 0.00776756 0.         0.15508418 0.        ],4,0.5051,0.1955
13,0.0062,-0.9923,[0.         0.68837991 0.47539705 1.         0.02494039 0.91185735],2,0.4915,0.2060
14,0.1158,-0.1351,[0.         0.85818018 0.52704587 1.         0.05895037 0.93886524],3,0.4707,0.2021
15,0.0274,-0.9884,[0.         0.690261   0.47669373 1.         0.02500877 0.91434854],3,0.4792,0.2299
16,0.3466,0.4555,[0.46800875 0.         0.         0.         0.50852741 0.        ],3,0.5398,0.1881
17,0.1617,0.1049,[0.19062823 0.00674654 0.01582945 0.         0.26100892 0.        ],3,0.5199,0.2253
18,0.3184,-0.2942,[0.         1.         0.78529935 1.         0.108      0.92      ],3,0.4630,0.2880
19,0.3774,-0.6004,[0.         1.         0.92820986 1.         0.108      0.92      ],3,0.4588,0.2074
20,0.6472,-0.0861,[0.    1.    0.968 1.    0.108 0.92 ],3,0.4862,0.2100
21,0.5366,0.7245,[0.61847605 0.         0.         0.         0.54531705 0.        ],3,0.5320,0.1868
22,0.9595,0.8061,[1. 0. 0. 0. 1. 0.],3,0.5677,0.4208
23,0.2330,-0.1695,[0.         1.         0.65489558 1.         0.108      0.92      ],4,0.4869,0.2283
24,0.1998,-0.0464,[0.         0.87773579 0.53185061 1.         0.06364585 0.93705929],3,0.4297,0.1855
