Iteration,Stimulus Intensity,Stimulus Valence,Emotional State,Action,Emotional Stability,Time
0,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
1,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
2,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
3,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
4,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
5,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
6,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
7,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
8,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
9,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
10,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
11,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
12,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
13,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
14,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
15,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
16,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
17,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
18,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
19,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
20,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
21,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
22,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
23,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
24,0.44704593697893946,0.11034197661666223,[0.51875921 0.         0.         0.         0.71513987 0.        ],0,0.5889942646026611,0.0000
