Iteration,Stimulus Intensity,Stimulus Valence,Joy,Sadness,Anger,Fear,Surprise,Disgust,Action,Emotional Stability,Time
Action description:  0 - Выразить  радость,  1 - Проявить  грусть,  2 - Проявить  гнев, 3 - Избегать  опасности,  4 - Взаимодействовать  с  объектом,  5 - Не  выражать  эмоций
0,0.0069,-0.3990,[0.         0.77801941 0.51260319 1.         0.03882288 0.94660658],5,0.5000,0.0440
1,0.5878,0.3891,[0.7139723  0.         0.         0.         0.77618208 0.        ],0,0.5000,0.0521
2,0.6812,0.0289,[0.78585267 0.         0.         0.         1.         0.        ],0,0.5000,0.0495
3,0.2664,-0.2275,[0.         1.         0.71876412 1.         0.108      0.92      ],3,0.5000,0.0488
4,0.4934,0.7808,[0.57523419 0.         0.         0.         0.47992753 0.        ],0,0.5133,0.8211
5,0.6158,-0.7769,[0.    1.    0.968 1.    0.108 0.92 ],3,0.4095,0.3086
6,0.4378,0.5150,[0.5301173  0.         0.         0.         0.47291578 0.        ],0,0.5095,0.2360
7,0.3414,-0.8968,[0.         1.         0.85772479 1.         0.108      0.92      ],3,0.4245,0.2040
8,0.8370,-0.8543,[0.    1.    0.968 1.    0.108 0.92 ],5,0.4266,0.2202
9,0.4251,0.7412,[0.52615793 0.         0.         0.         0.45706177 0.        ],5,0.4203,0.1962
10,0.7342,-0.8052,[0.    1.    0.968 1.    0.108 0.92 ],3,0.4260,0.2070
11,0.5849,-0.0933,[0.    1.    0.968 1.    0.108 0.92 ],0,0.3811,0.1829
12,0.2357,-0.9616,[0.         0.96225061 0.53719731 1.         0.08495761 0.92886246],0,0.3672,0.2003
13,0.3877,-0.8583,[0.         1.         0.94271126 1.         0.108      0.92      ],4,0.3610,0.1843
14,0.0495,-0.8206,[0.         0.70729007 0.48843907 1.         0.02562712 0.93690231],1,0.2855,0.1910
15,0.9617,-0.1081,[0.         1.         0.96722018 1.         0.11306881 0.91805046],0,0.2886,0.1844
16,0.4218,-0.5821,[0.    1.    0.968 1.    0.108 0.92 ],3,0.2874,0.1867
17,0.2137,-0.0015,[0.         1.         0.87423916 1.         0.108      0.92      ],3,0.2872,0.1974
18,0.5036,-0.7337,[0.    1.    0.968 1.    0.108 0.92 ],3,0.2778,0.1844
19,0.1610,0.2114,[0.19858108 0.         0.0023489  0.         0.27364728 0.        ],4,0.3270,0.1898
20,0.0865,-0.0923,[0.         0.87105944 0.529358   1.         0.06225875 0.93759279],2,0.3026,0.1592
21,0.5279,0.9948,[0.60709933 0.         0.         0.         0.52245668 0.        ],1,0.3819,0.1820
22,0.4361,-0.3438,[0.         1.         0.91916394 1.         0.108      0.92      ],3,0.3920,0.1921
23,0.9148,-0.2656,[0.    1.    0.968 1.    0.108 0.92 ],3,0.4214,0.1862
24,0.8500,-0.4019,[0.    1.    0.968 1.    0.108 0.92 ],0,0.3691,0.1973
